intent,text,entity
jadwal_hari_ini,Apa saja jadwal kuliah hari ini?,
jadwal_hari_ini,Hari ini kuliah apa saja?,
jadwal_hari_ini,Kelas apa hari ini?,
jadwal_hari_ini,Ada mata kuliah apa hari ini?,
jadwal_hari_ini,Siapa dosennya hari ini dan kuliah jam berapa?,
jadwal_hari_tertentu,Jadwal kuliah hari Senin apa saja?,hari=Senin
jadwal_hari_tertentu,Kuliah di hari Senin ada apa aja?,hari=Senin
jadwal_hari_tertentu,Hari Senin ada kelas apa?,hari=Senin
jadwal_hari_tertentu,Apa jadwal kuliah di hari Senin?,hari=Senin
jadwal_hari_tertentu,Jadwal hari Senin itu apa saja?,hari=Senin
jadwal_hari_tertentu,Jadwal kuliah hari Selasa apa saja?,hari=Selasa
jadwal_hari_tertentu,Kuliah di hari Selasa ada apa aja?,hari=Selasa
jadwal_hari_tertentu,Hari Selasa ada kelas apa?,hari=Selasa
jadwal_hari_tertentu,Apa jadwal kuliah di hari Selasa?,hari=Selasa
jadwal_hari_tertentu,Jadwal hari Selasa itu apa saja?,hari=Selasa
jadwal_hari_tertentu,Jadwal kuliah hari Rabu apa saja?,hari=Rabu
jadwal_hari_tertentu,Kuliah di hari Rabu ada apa aja?,hari=Rabu
jadwal_hari_tertentu,Hari Rabu ada kelas apa?,hari=Rabu
jadwal_hari_tertentu,Apa jadwal kuliah di hari Rabu?,hari=Rabu
jadwal_hari_tertentu,Jadwal hari Rabu itu apa saja?,hari=Rabu
jadwal_hari_tertentu,Jadwal kuliah hari Kamis apa saja?,hari=Kamis
jadwal_hari_tertentu,Kuliah di hari Kamis ada apa aja?,hari=Kamis
jadwal_hari_tertentu,Hari Kamis ada kelas apa?,hari=Kamis
jadwal_hari_tertentu,Apa jadwal kuliah di hari Kamis?,hari=Kamis
jadwal_hari_tertentu,Jadwal hari Kamis itu apa saja?,hari=Kamis
jadwal_hari_tertentu,Jadwal kuliah hari Jumat apa saja?,hari=Jumat
jadwal_hari_tertentu,Kuliah di hari Jumat ada apa aja?,hari=Jumat
jadwal_hari_tertentu,Hari Jumat ada kelas apa?,hari=Jumat
jadwal_hari_tertentu,Apa jadwal kuliah di hari Jumat?,hari=Jumat
jadwal_hari_tertentu,Jadwal hari Jumat itu apa saja?,hari=Jumat
jadwal_hari_tertentu,Jadwal kuliah hari Sabtu apa saja?,hari=Sabtu
jadwal_hari_tertentu,Kuliah di hari Sabtu ada apa aja?,hari=Sabtu
jadwal_hari_tertentu,Hari Sabtu ada kelas apa?,hari=Sabtu
jadwal_hari_tertentu,Apa jadwal kuliah di hari Sabtu?,hari=Sabtu
jadwal_hari_tertentu,Jadwal hari Sabtu itu apa saja?,hari=Sabtu
jadwal_hari_tertentu,Jadwal kuliah hari Minggu apa saja?,hari=Minggu
jadwal_hari_tertentu,Kuliah di hari Minggu ada apa aja?,hari=Minggu
jadwal_hari_tertentu,Hari Minggu ada kelas apa?,hari=Minggu
jadwal_hari_tertentu,Apa jadwal kuliah di hari Minggu?,hari=Minggu
jadwal_hari_tertentu,Jadwal hari Minggu itu apa saja?,hari=Minggu
mata_kuliah_semester_tipe,Apa saja mata kuliah di semester ganjil?,semester_tipe=Ganjil
mata_kuliah_semester_tipe,Daftar kuliah untuk semester ganjil apa aja?,semester_tipe=Ganjil
mata_kuliah_semester_tipe,Semester ganjil itu mata kuliahnya apa saja?,semester_tipe=Ganjil
mata_kuliah_semester_tipe,Saya ingin tahu mata kuliah semester ganjil,semester_tipe=Ganjil
mata_kuliah_semester_tipe,Tampilkan kuliah yang diajarkan di semester ganjil,semester_tipe=Ganjil
mata_kuliah_semester_tipe,Apa kuliah yang ditawarkan di semester ganjil?,semester_tipe=Ganjil
mata_kuliah_semester_tipe,Ada berapa mata kuliah di semester ganjil?,semester_tipe=Ganjil
mata_kuliah_semester_tipe,Mahasiswa semester ganjil dapat mata kuliah apa aja?,semester_tipe=Ganjil
mata_kuliah_semester_tipe,Apa saja mata kuliah di semester genap?,semester_tipe=Genap
mata_kuliah_semester_tipe,Daftar kuliah untuk semester genap apa aja?,semester_tipe=Genap
mata_kuliah_semester_tipe,Semester genap itu mata kuliahnya apa saja?,semester_tipe=Genap
mata_kuliah_semester_tipe,Saya ingin tahu mata kuliah semester genap,semester_tipe=Genap
mata_kuliah_semester_tipe,Tampilkan kuliah yang diajarkan di semester genap,semester_tipe=Genap
mata_kuliah_semester_tipe,Apa kuliah yang ditawarkan di semester genap?,semester_tipe=Genap
mata_kuliah_semester_tipe,Ada berapa mata kuliah di semester genap?,semester_tipe=Genap
mata_kuliah_semester_tipe,Mahasiswa semester genap dapat mata kuliah apa aja?,semester_tipe=Genap
mata_kuliah_berdasarkan_lokasi,Apa saja mata kuliah di Laboratorium Komputer Dasar?,lokasi=Laboratorium Komputer Dasar
mata_kuliah_berdasarkan_lokasi,Saya mau lihat mata kuliah di Laboratorium Komputer Dasar,lokasi=Laboratorium Komputer Dasar
mata_kuliah_berdasarkan_lokasi,Kuliah apa aja di Laboratorium Komputer Dasar?,lokasi=Laboratorium Komputer Dasar
mata_kuliah_berdasarkan_lokasi,Lab komputer dasar ada kuliah apa?,lokasi=Laboratorium Komputer Dasar
mata_kuliah_berdasarkan_lokasi,Kelas apa yang diadakan di Laboratorium Komputer Dasar?,lokasi=Laboratorium Komputer Dasar
mata_kuliah_berdasarkan_lokasi,Ada berapa kuliah di Laboratorium Komputer Dasar?,lokasi=Laboratorium Komputer Dasar
mata_kuliah_berdasarkan_lokasi,Tampilkan jadwal kuliah di Laboratorium Komputer Dasar,lokasi=Laboratorium Komputer Dasar
mata_kuliah_berdasarkan_lokasi,Apa kuliah yang diadakan di Laboratorium Komputer Dasar?,lokasi=Laboratorium Komputer Dasar
mata_kuliah_berdasarkan_lokasi,Apa saja mata kuliah di Laboratorium Komputer Multimedia?,lokasi=Laboratorium Komputer Multimedia
mata_kuliah_berdasarkan_lokasi,Saya mau lihat mata kuliah di Laboratorium Komputer Multimedia,lokasi=Laboratorium Komputer Multimedia
mata_kuliah_berdasarkan_lokasi,Kuliah apa aja di Laboratorium Komputer Multimedia?,lokasi=Laboratorium Komputer Multimedia
mata_kuliah_berdasarkan_lokasi,Lab komputer multimedia ada kuliah apa?,lokasi=Laboratorium Komputer Multimedia
mata_kuliah_berdasarkan_lokasi,Kelas apa yang diadakan di Laboratorium Komputer Multimedia?,lokasi=Laboratorium Komputer Multimedia
mata_kuliah_berdasarkan_lokasi,Ada berapa kuliah di Laboratorium Komputer Multimedia?,lokasi=Laboratorium Komputer Multimedia
mata_kuliah_berdasarkan_lokasi,Tampilkan jadwal kuliah di Laboratorium Komputer Multimedia,lokasi=Laboratorium Komputer Multimedia
mata_kuliah_berdasarkan_lokasi,Apa kuliah yang diadakan di Laboratorium Komputer Multimedia?,lokasi=Laboratorium Komputer Multimedia
mata_kuliah_per_semester,Semester 1 belajar mata kuliah apa saja?,semester=1
mata_kuliah_per_semester,Apa saja mata kuliah semester 1?,semester=1
mata_kuliah_per_semester,Tampilkan semua mata kuliah semester 1,semester=1
mata_kuliah_per_semester,Semester 1 ada kuliah apa aja?,semester=1
mata_kuliah_per_semester,Mata kuliah di semester 1 apa aja?,semester=1
mata_kuliah_per_semester,Semester 2 belajar mata kuliah apa saja?,semester=2
mata_kuliah_per_semester,Apa saja mata kuliah semester 2?,semester=2
mata_kuliah_per_semester,Tampilkan semua mata kuliah semester 2,semester=2
mata_kuliah_per_semester,Semester 2 ada kuliah apa aja?,semester=2
mata_kuliah_per_semester,Mata kuliah di semester 2 apa aja?,semester=2
mata_kuliah_per_semester,Semester 3 belajar mata kuliah apa saja?,semester=3
mata_kuliah_per_semester,Apa saja mata kuliah semester 3?,semester=3
mata_kuliah_per_semester,Tampilkan semua mata kuliah semester 3,semester=3
mata_kuliah_per_semester,Semester 3 ada kuliah apa aja?,semester=3
mata_kuliah_per_semester,Mata kuliah di semester 3 apa aja?,semester=3
mata_kuliah_per_semester,Semester 4 belajar mata kuliah apa saja?,semester=4
mata_kuliah_per_semester,Apa saja mata kuliah semester 4?,semester=4
mata_kuliah_per_semester,Tampilkan semua mata kuliah semester 4,semester=4
mata_kuliah_per_semester,Semester 4 ada kuliah apa aja?,semester=4
mata_kuliah_per_semester,Mata kuliah di semester 4 apa aja?,semester=4
mata_kuliah_per_semester,Semester 5 belajar mata kuliah apa saja?,semester=5
mata_kuliah_per_semester,Apa saja mata kuliah semester 5?,semester=5
mata_kuliah_per_semester,Tampilkan semua mata kuliah semester 5,semester=5
mata_kuliah_per_semester,Semester 5 ada kuliah apa aja?,semester=5
mata_kuliah_per_semester,Mata kuliah di semester 5 apa aja?,semester=5
mata_kuliah_per_semester,Semester 6 belajar mata kuliah apa saja?,semester=6
mata_kuliah_per_semester,Apa saja mata kuliah semester 6?,semester=6
mata_kuliah_per_semester,Tampilkan semua mata kuliah semester 6,semester=6
mata_kuliah_per_semester,Semester 6 ada kuliah apa aja?,semester=6
mata_kuliah_per_semester,Mata kuliah di semester 6 apa aja?,semester=6
mata_kuliah_per_semester,Semester 7 belajar mata kuliah apa saja?,semester=7
mata_kuliah_per_semester,Apa saja mata kuliah semester 7?,semester=7
mata_kuliah_per_semester,Tampilkan semua mata kuliah semester 7,semester=7
mata_kuliah_per_semester,Semester 7 ada kuliah apa aja?,semester=7
mata_kuliah_per_semester,Mata kuliah di semester 7 apa aja?,semester=7
mata_kuliah_per_semester,Semester 8 belajar mata kuliah apa saja?,semester=8
mata_kuliah_per_semester,Apa saja mata kuliah semester 8?,semester=8
mata_kuliah_per_semester,Tampilkan semua mata kuliah semester 8,semester=8
mata_kuliah_per_semester,Semester 8 ada kuliah apa aja?,semester=8
mata_kuliah_per_semester,Mata kuliah di semester 8 apa aja?,semester=8
mata_kuliah_dosen,Pak Zikri ngajar mata kuliah apa aja?,dosen=Zikri Wahyuzi
mata_kuliah_dosen,Mata kuliah yang diajar oleh Zikri Wahyuzi apa saja?,dosen=Zikri Wahyuzi
mata_kuliah_dosen,Apa saja mata kuliah yang diampu Pak Zikri?,dosen=Zikri Wahyuzi
mata_kuliah_dosen,Saya ingin tahu kuliah yang diajar oleh Zikri Wahyuzi,dosen=Zikri Wahyuzi
mata_kuliah_dosen,Kelas apa saja yang diajar oleh Pak Zikri?,dosen=Zikri Wahyuzi
mata_kuliah_dosen,Zikri Wahyuzi mengajar kuliah apa semester ini?,dosen=Zikri Wahyuzi
mata_kuliah_dosen,Mohon info mata kuliah yang diampu oleh Zikri Wahyuzi,dosen=Zikri Wahyuzi
mata_kuliah_dosen,Kuliah apa saja yang dipegang oleh Pak Zikri?,dosen=Zikri Wahyuzi
mata_kuliah_dosen,Bu Rina ngajar mata kuliah apa aja?,dosen=Dr. Rina Andayani
mata_kuliah_dosen,Mata kuliah yang diajar oleh Dr. Rina Andayani apa saja?,dosen=Dr. Rina Andayani
mata_kuliah_dosen,Apa saja mata kuliah yang diampu Bu Rina?,dosen=Dr. Rina Andayani
mata_kuliah_dosen,Saya ingin tahu kuliah yang diajar oleh Dr. Rina Andayani,dosen=Dr. Rina Andayani
mata_kuliah_dosen,Kelas apa saja yang diajar oleh Bu Rina?,dosen=Dr. Rina Andayani
mata_kuliah_dosen,Dr. Rina Andayani mengajar kuliah apa semester ini?,dosen=Dr. Rina Andayani
mata_kuliah_dosen,Mohon info mata kuliah yang diampu oleh Dr. Rina Andayani,dosen=Dr. Rina Andayani
mata_kuliah_dosen,Kuliah apa saja yang dipegang oleh Bu Rina?,dosen=Dr. Rina Andayani
mata_kuliah_dosen,Pak Rizki ngajar mata kuliah apa?,dosen=Muhammad Rizki
mata_kuliah_dosen,Apa saja mata kuliah yang diampu Muhammad Rizki?,dosen=Muhammad Rizki
mata_kuliah_dosen,Kuliah yang diajar oleh Pak Rizki semester ini apa aja?,dosen=Muhammad Rizki
mata_kuliah_dosen,Saya mau tahu mata kuliah yang diajar Muhammad Rizki?,dosen=Muhammad Rizki
mata_kuliah_dosen,Bu Tuti ngajar mata kuliah apa?,dosen=Dra. Tuti Herlina
mata_kuliah_dosen,Mata kuliah yang diampu Dra. Tuti Herlina apa saja?,dosen=Dra. Tuti Herlina
mata_kuliah_dosen,Kelas apa yang diajar oleh Bu Tuti?,dosen=Dra. Tuti Herlina
mata_kuliah_dosen,Apa kuliah yang diajar oleh Dra. Tuti Herlina?,dosen=Dra. Tuti Herlina
mata_kuliah_dosen,Pak Budi Saputra ngajar apa semester ini?,dosen=Dr. Budi Saputra
mata_kuliah_dosen,Mata kuliah yang diampu oleh Dr. Budi Saputra apa saja?,dosen=Dr. Budi Saputra
mata_kuliah_dosen,Apa saja kuliah yang diajar oleh Dr. Budi Saputra?,dosen=Dr. Budi Saputra
mata_kuliah_dosen,Saya ingin tahu kelas yang diajar Pak Budi Saputra?,dosen=Dr. Budi Saputra
mata_kuliah_dosen,Bu Siti Komariah ngajar kuliah apa aja?,dosen=Siti Komariah M.Kom
mata_kuliah_dosen,Mata kuliah yang diampu oleh Siti Komariah M.Kom apa saja?,dosen=Siti Komariah M.Kom
mata_kuliah_dosen,Apa saja kuliah yang diajar oleh Bu Komariah?,dosen=Siti Komariah M.Kom
mata_kuliah_dosen,Di kelas mana saja Siti Komariah M.Kom mengajar?,dosen=Siti Komariah M.Kom
mata_kuliah_dosen,Pak Arif ngajar apa?,dosen=M. Arif
mata_kuliah_dosen,Kuliah yang diajar oleh M. Arif apa saja?,dosen=M. Arif
mata_kuliah_dosen,Apa saja mata kuliah yang diampu Pak Arif?,dosen=M. Arif
mata_kuliah_dosen,Saya mau tahu kelas yang diajar M. Arif?,dosen=M. Arif
mata_kuliah_dosen,Bu Sri Utami ngajar mata kuliah apa?,dosen=Sri Utami
mata_kuliah_dosen,Mata kuliah yang diajar oleh Sri Utami apa saja?,dosen=Sri Utami
mata_kuliah_dosen,Apa saja kelas yang diampu Bu Sri Utami?,dosen=Sri Utami
mata_kuliah_dosen,Saya ingin tahu mata kuliah yang diajar Sri Utami?,dosen=Sri Utami
